nickname	followers	likes
https://www.tiktok.com/@ozon.ru	270600	3500000
https://www.tiktok.com/@letoile_official	3200000	50500000
https://www.tiktok.com/@rivegauche_official	113400	4800000
https://www.tiktok.com/@goldapple	2800000	67900000
https://www.tiktok.com/@yvesrocher_russia	42300	397200
https://www.tiktok.com/@batel__official	1132	6845
https://www.tiktok.com/@mixit_ru?lang=ru-RU	13400	149100
https://www.tiktok.com/@nyxcosmetics?lang=ru-RU	404500	6600000
https://www.tiktok.com/@spellsmell.ru	16200	186100
https://www.tiktok.com/@sephorarussia	406900	6100000
https://www.tiktok.com/@hollyshopru	12600	99700
https://www.tiktok.com/@podrygkashop	58000	769400
https://www.tiktok.com/@imkosmetik	3554	27500
